2020-02-01,0,0,0,0,0,0,0,0,1,0,0,
2020-02-02,0,0,0,0,0,0,0,1,1,0,0,
2020-02-03,0,0,0,0,0,0,0,1,1,0,0,
2020-02-04,0,0,1,0,0,0,2,1,1,0,0,
2020-02-05,0,0,2,0,0,2,2,1,1,0,0,
2020-02-06,0,0,2,0,0,3,4,1,1,0,0,
2020-02-07,0,0,2,0,1,4,4,1,1,0,0,
2020-02-08,0,0,2,0,1,4,4,1,1,0,0,
2020-02-09,0,0,6,0,1,7,5,2,1,1,0,
2020-02-10,0,0,6,0,1,9,8,2,2,1,0,
2020-02-11,0,0,6,2,1,10,10,4,2,1,0,
2020-02-12,0,0,6,2,1,11,10,4,2,1,0,
2020-02-13,0,0,6,3,2,11,11,4,2,1,0,
2020-02-14,0,0,6,3,3,11,12,5,2,1,0,
2020-02-15,0,0,6,3,3,11,12,5,2,1,0,
2020-02-16,0,0,6,3,3,12,12,5,2,1,0,
2020-02-17,0,0,6,3,5,12,13,5,2,1,0,
2020-02-18,0,0,6,4,5,13,13,5,2,1,0,
2020-02-19,0,0,6,4,5,13,14,6,3,1,0,
2020-02-20,0,0,6,5,6,14,14,7,3,1,0,
2020-02-21,0,0,6,5,6,14,14,7,3,1,0,
2020-02-22,0,0,6,5,6,14,14,7,3,2,0,
2020-02-23,0,0,6,6,6,14,16,8,4,2,0,
2020-02-24,0,0,6,6,6,19,17,8,4,2,0,
2020-02-25,0,0,7,7,6,20,18,8,4,2,0,
2020-02-26,0,1,10,7,7,20,18,8,5,2,0,
2020-02-27,0,1,10,7,7,20,18,9,6,2,0,
2020-02-28,0,1,10,7,7,20,19,9,6,2,0,
2020-02-29,0,1,10,7,8,20,19,9,6,2,0,
2020-03-01,0,1,10,7,8,21,20,12,6,2,0,
2020-03-02,0,1,10,7,8,21,21,12,6,2,0,
2020-03-03,0,1,10,7,8,21,21,12,6,2,0,
2020-03-04,0,1,10,7,9,22,23,12,6,2,0,
2020-03-05,0,1,10,7,9,22,23,12,6,2,0,
2020-03-06,0,1,10,7,9,23,24,12,7,2,0,
2020-03-07,0,1,10,8,9,23,24,13,7,2,0,
2020-03-08,0,1,10,8,11,25,24,14,7,2,0,
2020-03-09,0,1,10,8,12,25,24,14,7,2,0,
2020-03-10,0,1,10,8,13,29,24,14,7,2,0,
2020-03-11,0,1,12,10,13,32,26,14,7,2,0,
2020-03-12,0,1,12,12,13,32,26,14,7,2,0,
2020-03-13,1,1,12,13,13,33,29,14,7,2,0,
2020-03-14,1,1,13,14,13,35,29,14,7,2,0,
2020-03-15,1,1,14,18,13,36,30,14,7,2,0,
2020-03-16,1,1,15,20,16,38,30,15,7,2,0,
2020-03-17,1,2,19,23,17,38,31,15,7,2,0,
2020-03-18,1,4,28,29,20,40,34,15,7,2,0,
2020-03-19,1,6,33,32,25,41,34,15,7,2,0,
2020-03-20,2,12,43,46,30,47,40,15,7,2,0,
2020-03-21,2,15,44,51,32,50,42,16,7,2,0,
2020-03-22,4,20,58,65,36,52,44,17,7,2,0,
2020-03-23,4,24,66,75,41,60,48,17,7,2,0,
2020-03-24,4,25,70,86,49,63,51,17,7,2,0,
2020-03-25,4,29,77,91,53,67,51,17,7,2,0,
2020-03-26,4,35,90,101,61,69,53,19,7,2,0,
2020-03-27,4,47,104,116,71,77,58,20,7,2,0,
2020-03-28,5,63,125,126,75,82,64,21,7,2,0,
2020-03-29,5,73,144,137,81,88,68,24,7,2,0,
2020-03-30,5,86,155,148,81,93,69,24,7,2,0,
2020-03-31,5,93,163,152,84,95,73,26,9,2,0,
2020-04-01,6,101,178,163,90,102,76,26,9,2,0,
2020-04-02,7,111,186,170,91,108,79,27,9,2,0,
2020-04-03,7,118,200,176,97,116,81,27,9,2,0,
2020-04-04,8,120,207,179,99,116,81,28,9,3,0,
2020-04-05,8,126,216,183,103,116,86,28,9,3,0,
2020-04-06,10,128,221,185,108,120,90,28,9,3,0,
2020-04-07,10,131,228,188,111,124,91,28,9,3,0,
2020-04-08,12,131,237,194,112,128,93,29,9,3,0,
2020-04-09,12,131,240,199,113,129,96,29,9,3,0,
2020-04-10,12,134,247,201,114,131,96,30,9,3,0,
2020-04-11,12,135,251,205,115,132,96,30,9,3,0,
2020-04-12,12,135,253,205,115,133,97,30,9,3,0,
2020-04-13,13,135,253,205,115,134,98,32,9,3,0,
2020-04-14,13,136,254,205,115,135,98,32,9,3,0,
2020-04-15,13,136,255,206,116,135,99,32,9,3,0,
2020-04-16,13,137,255,206,116,135,99,32,9,3,0,
2020-04-17,13,138,257,206,116,136,99,32,9,3,0,
2020-04-18,14,138,258,206,116,136,99,32,9,3,0,
2020-04-19,14,138,258,207,117,136,99,32,9,3,0,
2020-04-20,14,138,258,207,117,136,99,32,9,3,0,
2020-04-21,14,139,259,209,117,136,99,32,9,3,0,
2020-04-22,15,139,260,209,117,137,100,32,9,3,0,
2020-04-23,15,139,261,209,117,138,100,32,9,3,0,
2020-04-24,15,139,261,209,117,138,100,32,9,3,0,
2020-04-25,15,140,261,209,117,138,101,32,9,3,0,
2020-04-26,15,140,261,209,117,138,101,32,9,3,0,
2020-04-27,15,140,261,209,117,138,101,32,9,3,0,
2020-04-28,15,140,261,209,117,138,101,32,9,3,0,
2020-04-29,15,140,261,209,117,138,101,32,9,3,0,
2020-04-30,15,140,261,209,117,138,101,32,9,3,0,
2020-05-01,15,141,261,210,117,138,101,32,9,3,0,
2020-05-02,15,141,261,210,117,138,101,32,9,3,0,
2020-05-03,15,141,261,210,117,138,101,32,9,3,0,
2020-05-04,15,141,262,210,117,138,101,32,9,3,0,
2020-05-05,15,141,262,210,117,138,101,32,9,3,0,
2020-05-06,15,141,262,210,117,138,101,32,9,3,0,
2020-05-07,15,142,263,210,119,138,101,32,9,3,0,
2020-05-08,15,142,263,210,119,138,101,32,9,3,0,
2020-05-09,15,142,263,210,119,138,101,32,9,3,0,
2020-05-10,15,142,263,210,119,140,102,32,9,3,0,
2020-05-11,15,142,263,210,119,140,102,32,9,3,0,
2020-05-12,15,142,263,210,119,140,102,32,9,3,0,
2020-05-13,16,142,263,211,119,140,103,32,9,3,0,
2020-05-14,16,142,263,211,119,140,104,32,9,3,0,
2020-05-15,16,142,263,211,120,140,104,32,9,3,0,
2020-05-16,16,142,263,211,120,140,104,32,9,3,0,
2020-05-17,16,143,263,212,120,140,104,33,9,3,0,
2020-05-18,16,143,263,212,120,140,104,33,9,3,0,
2020-05-19,16,143,263,212,120,140,104,33,9,3,0,
2020-05-20,16,143,263,212,120,140,104,33,9,3,0,
2020-05-21,16,145,265,214,120,141,104,34,9,3,0,
2020-05-22,16,146,265,214,120,141,105,34,9,3,0,
2020-05-23,16,146,265,214,120,141,105,34,9,3,0,
2020-05-24,16,146,265,214,120,141,105,34,9,3,0,
2020-05-25,16,146,265,214,120,141,105,34,9,3,0,
2020-05-26,16,146,265,214,120,141,105,34,9,3,0,
2020-05-27,16,146,266,214,120,141,105,34,9,3,0,
2020-05-28,16,146,266,214,120,141,105,34,9,3,0,
2020-05-29,18,148,270,218,121,141,105,34,9,3,0,
2020-05-30,20,148,270,219,121,141,105,34,9,3,0,
2020-05-31,20,148,270,220,121,142,105,34,9,3,0,
2020-06-01,20,148,271,221,122,142,105,34,9,3,0,
